#AFFY	Barcode
1552755_at	0
1552757_s_at	0
1552758_at	0
1552760_at	0
1552761_at	0
1552763_at	0
1552765_x_at	0
1552766_at	0
1552767_a_at	0
1552768_at	0
1552769_at	0
1552770_s_at	0
1552771_a_at	0
1552772_at	0
1552773_at	0
1552774_a_at	0
1552775_at	0
1552777_a_at	0
1552779_a_at	0
1552782_at	1
1552783_at	0
1552785_at	0
1552787_at	0
1552788_a_at	0
1552789_at	0
1552790_a_at	0
1552791_a_at	0
1552792_at	0
1552793_at	0
1552794_a_at	0
1552796_a_at	0
1552797_s_at	1
1552798_a_at	0
1552799_at	0
1552800_at	0
1552801_at	0
1552803_a_at	0
1552804_a_at	0
1552806_a_at	0
1552807_a_at	0
1552808_at	0
1552809_at	0
1552811_at	0
1552812_a_at	1
1552813_at	0
1552814_a_at	0
1552816_at	0
1552818_a_at	0
1552819_at	0
1552822_at	1
1552825_at	0
1552826_at	0
1552827_s_at	0
1552828_at	0
1552829_at	0
1552830_at	0
1552833_at	0
1552834_at	0
1552835_at	0
1552836_at	0
1552837_at	0
1552839_at	0
1552841_s_at	0
1552842_at	0
1552843_at	0
1552845_at	0
1552846_s_at	0
1552848_a_at	0
1552849_at	0
1552851_at	0
1552852_a_at	0
1552853_at	0
1552854_a_at	0
1552856_at	0
1552857_a_at	0
1552858_at	0
1552860_at	0
1552862_at	0
1552863_a_at	0
1552865_a_at	0
1552867_at	0
1552868_at	0
1552870_s_at	0
1552872_at	0
1552873_s_at	0
1552875_a_at	0
1552876_at	0
1552877_s_at	0
1552878_at	0
1552879_a_at	0
1552880_at	0
1552882_a_at	0
1552884_at	0
1552885_a_at	0
1552887_at	0
1552889_a_at	0
1552890_a_at	0
1552892_at	0
1552893_at	0
1552895_a_at	0
1552897_a_at	1
1552898_a_at	0
1552899_at	0
1552900_a_at	0
1552902_a_at	0
1552903_at	0
1552904_at	0
1552906_at	0
1552908_at	0
1552910_at	0
1552911_at	0
1552912_a_at	0
1552913_at	0
1552914_a_at	0
1552915_at	0
1552917_at	0
1552919_at	0
1552921_a_at	1
1552922_at	0
1552923_a_at	0
1552924_a_at	0
1552925_at	0
1552927_at	0
1552928_s_at	0
1552929_at	0
1552930_at	0
1552931_a_at	0
1552932_at	0
1552933_at	0
1552935_at	0
1552937_s_at	0
1552938_at	0
1552939_at	0
1552940_at	0
1552942_at	0
1552943_at	0
1552944_a_at	0
1552946_at	0
1552947_x_at	0
1552948_at	0
1552950_at	0
1552952_at	0
1552953_a_at	0
1552954_at	0
1552955_at	0
1552957_at	0
1552960_at	0
1552961_at	1
1552964_at	0
1552965_a_at	0
1552967_at	0
1552969_a_at	0
1552970_s_at	0
1552971_at	0
1552972_at	0
1552973_at	0
1552974_at	0
1552975_x_at	0
1552976_at	0
1552977_a_at	0
1552978_a_at	0
1552979_at	0
1552980_at	1
1552982_a_at	0
1552985_at	0
1552986_at	0
1552987_a_at	0
1552988_at	0
1552990_at	0
1552991_at	0
1552993_at	0
1552995_at	0
1552997_a_at	0
1552998_at	0
1552999_a_at	0
1553002_at	0
1553003_at	0
1553004_at	0
1553006_at	0
1553007_a_at	0
1553009_s_at	0
1553011_at	0
1553013_at	0
1553015_a_at	0
1553016_at	0
1553019_at	0
1553020_at	0
1553021_s_at	0
1553022_at	0
1553023_a_at	0
1553024_at	0
1553025_at	0
1553027_a_at	0
1553028_at	0
1553030_a_at	0
1553031_at	0
1553032_at	0
1553033_at	0
1553034_at	0
1553036_at	0
1553037_a_at	0
1553039_a_at	0
1553041_at	0
1553042_a_at	0
1553043_a_at	0
1553044_at	0
1553045_at	0
1553046_s_at	0
1553047_at	0
1553048_a_at	0
1553051_s_at	0
1553052_at	0
1553053_at	0
1553055_a_at	0
1553057_at	0
1553058_at	0
1553059_at	0
1553060_at	0
1553061_at	0
1553062_at	0
1553063_at	0
1553064_at	0
1553066_at	0
1553067_a_at	0
1553069_at	0
1553070_a_at	0
1553071_a_at	0
1553072_at	0
1553074_at	0
1553075_a_at	0
1553076_at	0
1553077_at	0
1553078_at	0
1553079_at	0
1553080_at	0
1553081_at	0
1553082_at	0
1553083_at	0
1553084_at	0
1553086_at	0
1553087_at	0
1553088_a_at	0
1553089_a_at	0
1553093_a_at	0
1553094_at	0
1553096_s_at	0
1553099_at	1
1553101_a_at	0
1553102_a_at	0
1553103_at	0
1553105_s_at	1
1553106_at	0
1553107_s_at	0
1553108_at	1
1553111_a_at	0
1553112_s_at	0
1553113_s_at	0
1553114_a_at	0
1553115_at	0
1553117_a_at	0
1553118_at	0
1553120_at	1
1553122_s_at	1
1553123_at	0
1553125_x_at	0
1553126_a_at	0
1553127_a_at	1
1553129_at	0
1553130_at	0
1553131_a_at	0
1553132_a_at	0
1553133_at	0
1553134_s_at	0
1553136_at	0
1553137_s_at	0
1553138_a_at	1
1553139_s_at	0
1553140_at	0
1553141_at	0
1553142_at	0
1553145_at	0
1553146_at	0
1553147_at	0
1553148_a_at	0
1553150_at	1
1553151_at	0
1553153_at	0
1553155_x_at	0
1553156_at	0
1553157_at	0
1553158_at	0
1553159_at	0
1553162_x_at	0
1553163_at	0
1553165_at	0
1553166_at	0
1553167_a_at	0
1553168_at	0
1553169_at	0
1553171_x_at	0
1553172_at	0
1553174_at	0
1553175_s_at	0
1553176_at	0
1553177_at	0
1553178_a_at	0
1553179_at	0
1553180_at	0
1553181_at	0
1553183_at	0
1553185_at	1
1553186_x_at	1
1553188_s_at	0
1553190_s_at	0
1553191_at	0
1553192_at	0
1553193_at	0
1553194_at	0
1553196_a_at	0
1553197_at	0
1553199_at	0
1553202_at	0
1553204_at	0
1553205_at	0
1553207_at	0
1553208_s_at	0
1553209_at	0
1553211_at	0
1553212_at	0
1553213_a_at	0
1553214_a_at	0
1553215_s_at	0
1553216_at	0
1553217_s_at	0
1553218_a_at	0
1553219_a_at	0
1553220_at	0
1553221_at	0
1553222_at	0
1553224_at	0
1553225_s_at	0
1553226_at	0
1553227_s_at	0
1553228_at	0
1553229_at	0
1553232_at	0
1553234_at	0
1553235_at	0
1553237_x_at	0
1553238_a_at	0
1553239_at	0
1553241_at	0
1553243_at	0
1553244_at	0
1553246_a_at	0
1553247_a_at	0
1553248_at	0
1553249_at	0
1553252_a_at	0
1553253_at	0
1553254_at	0
1553255_at	0
1553257_at	0
1553258_at	0
1553260_s_at	0
1553261_x_at	0
1553262_a_at	0
1553263_at	0
1553264_a_at	0
1553265_at	0
1553266_at	1
1553267_a_at	1
1553268_at	0
1553269_at	1
1553271_at	0
1553272_at	0
1553274_a_at	1
1553275_s_at	0
1553276_at	0
1553277_at	0
1553279_at	0
1553280_at	0
1553281_at	0
1553282_at	0
1553284_s_at	0
1553285_s_at	0
1553286_at	0
1553288_a_at	0
1553292_s_at	0
1553293_at	0
1553295_at	0
1553296_at	0
1553297_a_at	0
1553298_at	0
1553299_at	0
1553300_a_at	0
1553301_a_at	0
1553303_at	0
1553304_at	0
1553306_at	0
1553310_at	0
1553311_at	0
1553313_s_at	0
1553314_a_at	1
1553315_at	1
1553316_at	0
