#Ensembl Gene ID	Tumor Type
ENSG00000054116	Brain
ENSG00000054118	Brain
ENSG00000055609	Brain
ENSG00000056291	Brain
ENSG00000056345	Brain
ENSG00000056661	Brain
ENSG00000057019	Brain
ENSG00000058866	Brain
ENSG00000060140	Brain
ENSG00000060237	Brain
ENSG00000060709	Brain
ENSG00000060762	Brain
ENSG00000061938	Brain
ENSG00000061987	Brain
ENSG00000062194	Brain
ENSG00000062524	Brain
ENSG00000062822	Brain
ENSG00000063015	Brain
ENSG00000064102	Brain
ENSG00000064201	Brain
ENSG00000064270	Brain
ENSG00000064687	Brain
ENSG00000064933	Brain
ENSG00000065054	Brain
ENSG00000065328	Brain
ENSG00000065361	Brain
ENSG00000065526	Brain
ENSG00000065559	Brain
ENSG00000065621	Brain
ENSG00000066032	Brain
ENSG00000066248	Brain
ENSG00000066279	Brain
ENSG00000066294	Brain
ENSG00000066468	Brain
ENSG00000066827	Brain
ENSG00000067066	Brain
ENSG00000067082	Brain
ENSG00000067601	Brain
ENSG00000067606	Brain
ENSG00000067900	Brain
ENSG00000068078	Brain
ENSG00000068323	Brain
ENSG00000069122	Brain
ENSG00000070182	Brain
ENSG00000070366	Brain
ENSG00000070371	Brain
ENSG00000070601	Brain
ENSG00000070748	Brain
ENSG00000070961	Brain
ENSG00000070985	Brain
ENSG00000071054	Brain
ENSG00000071189	Brain
ENSG00000071909	Brain
ENSG00000072110	Brain
ENSG00000072201	Brain
ENSG00000072952	Brain
ENSG00000072954	Brain
ENSG00000073169	Brain
ENSG00000073756	Brain
ENSG00000074181	Brain
ENSG00000074219	Brain
ENSG00000074800	Brain
ENSG00000075413	Brain
ENSG00000075568	Brain
ENSG00000075673	Brain
ENSG00000076201	Brain
ENSG00000076242	Brain
ENSG00000076248	Brain
ENSG00000076382	Brain
ENSG00000076944	Brain
ENSG00000077044	Brain
ENSG00000077279	Brain
ENSG00000077312	Brain
ENSG00000077420	Brain
ENSG00000077782	Brain
ENSG00000078081	Brain
ENSG00000078687	Brain
ENSG00000079102	Brain
ENSG00000079691	Brain
ENSG00000079785	Brain
ENSG00000079819	Brain
ENSG00000080166	Brain
ENSG00000080224	Brain
ENSG00000080503	Brain
ENSG00000080644	Brain
ENSG00000080824	Brain
ENSG00000081026	Brain
ENSG00000081052	Brain
ENSG00000081087	Brain
ENSG00000081479	Brain
ENSG00000081842	Brain
ENSG00000081853	Brain
ENSG00000081913	Brain
ENSG00000081923	Brain
ENSG00000082068	Brain
ENSG00000082269	Brain
ENSG00000082898	Brain
ENSG00000083067	Brain
ENSG00000083312	Brain
ENSG00000083799	Brain
ENSG00000083857	Brain
ENSG00000084444	Brain
ENSG00000084674	Brain
ENSG00000085276	Brain
ENSG00000085552	Brain
ENSG00000085563	Brain
ENSG00000086189	Brain
ENSG00000086288	Brain
ENSG00000086827	Brain
ENSG00000086991	Brain
ENSG00000087008	Brain
ENSG00000087077	Brain
ENSG00000087088	Brain
ENSG00000087095	Brain
ENSG00000087237	Brain
ENSG00000087338	Brain
ENSG00000087460	Brain
ENSG00000088053	Brain
ENSG00000088387	Brain
ENSG00000088448	Brain
ENSG00000088827	Brain
ENSG00000089060	Brain
ENSG00000089597	Brain
ENSG00000090006	Brain
ENSG00000090020	Brain
ENSG00000090266	Brain
ENSG00000090316	Brain
ENSG00000090581	Brain
ENSG00000090920	Brain
ENSG00000090971	Brain
ENSG00000091009	Brain
ENSG00000091137	Brain
ENSG00000091140	Brain
ENSG00000091428	Brain
ENSG00000091536	Brain
ENSG00000091592	Brain
ENSG00000091622	Brain
ENSG00000091831	Brain
ENSG00000092028	Brain
ENSG00000092295	Brain
ENSG00000092439	Brain
ENSG00000092445	Brain
ENSG00000092853	Brain
ENSG00000095002	Brain
ENSG00000095321	Brain
ENSG00000095397	Brain
ENSG00000095739	Brain
ENSG00000095777	Brain
ENSG00000095951	Brain
ENSG00000096141	Brain
ENSG00000096433	Brain
ENSG00000097046	Brain
ENSG00000099250	Brain
ENSG00000099331	Brain
ENSG00000099341	Brain
ENSG00000099810	Brain
ENSG00000099956	Brain
ENSG00000099968	Brain
ENSG00000100077	Brain
ENSG00000100095	Brain
ENSG00000100106	Brain
ENSG00000100142	Brain
ENSG00000100150	Brain
ENSG00000100228	Brain
ENSG00000100298	Brain
ENSG00000100304	Brain
ENSG00000100335	Brain
ENSG00000100351	Brain
ENSG00000100393	Brain
ENSG00000100395	Brain
ENSG00000100403	Brain
ENSG00000100450	Brain
ENSG00000100473	Brain
ENSG00000100626	Brain
ENSG00000100629	Brain
ENSG00000100852	Brain
ENSG00000100968	Brain
ENSG00000101040	Brain
ENSG00000101049	Brain
ENSG00000101255	Brain
ENSG00000101292	Brain
ENSG00000101306	Brain
ENSG00000101337	Brain
ENSG00000101350	Brain
ENSG00000101384	Brain
ENSG00000101407	Brain
ENSG00000101440	Brain
ENSG00000101544	Brain
ENSG00000101680	Brain
ENSG00000101745	Brain
ENSG00000101825	Brain
ENSG00000101846	Brain
ENSG00000101890	Brain
ENSG00000102003	Brain
ENSG00000102226	Brain
ENSG00000102271	Brain
ENSG00000102302	Brain
ENSG00000102312	Brain
ENSG00000102452	Brain
ENSG00000102575	Brain
ENSG00000102710	Brain
ENSG00000102755	Brain
ENSG00000103023	Brain
ENSG00000103064	Brain
ENSG00000103197	Brain
ENSG00000103313	Brain
ENSG00000103549	Brain
ENSG00000103653	Brain
ENSG00000103657	Brain
ENSG00000103811	Brain
ENSG00000104055	Brain
ENSG00000104059	Brain
ENSG00000104267	Brain
ENSG00000104290	Brain
ENSG00000104320	Brain
ENSG00000104412	Brain
ENSG00000104450	Brain
ENSG00000104499	Brain
ENSG00000104517	Brain
ENSG00000104774	Brain
ENSG00000104889	Brain
ENSG00000104941	Brain
ENSG00000105287	Brain
ENSG00000105289	Brain
ENSG00000105298	Brain
ENSG00000105357	Brain
ENSG00000105366	Brain
ENSG00000105374	Brain
ENSG00000105426	Brain
ENSG00000105501	Brain
ENSG00000105559	Brain
ENSG00000105642	Brain
ENSG00000105663	Brain
ENSG00000105722	Brain
ENSG00000105738	Brain
ENSG00000105851	Brain
ENSG00000105976	Brain
ENSG00000105989	Brain
ENSG00000106018	Brain
ENSG00000106123	Brain
ENSG00000106341	Brain
ENSG00000106348	Brain
ENSG00000106351	Brain
ENSG00000106511	Brain
ENSG00000106536	Brain
ENSG00000106571	Brain
ENSG00000106771	Brain
ENSG00000106785	Brain
ENSG00000106948	Brain
ENSG00000107099	Brain
ENSG00000107105	Brain
ENSG00000107186	Brain
ENSG00000107338	Brain
ENSG00000107485	Brain
ENSG00000107611	Brain
ENSG00000107618	Brain
ENSG00000107643	Brain
ENSG00000107736	Brain
ENSG00000107862	Brain
ENSG00000107882	Brain
ENSG00000107929	Brain
ENSG00000107968	Brain
ENSG00000108001	Brain
ENSG00000108021	Brain
ENSG00000108055	Brain
ENSG00000108352	Brain
ENSG00000108504	Brain
ENSG00000108557	Brain
ENSG00000108679	Brain
ENSG00000108684	Brain
ENSG00000108785	Brain
ENSG00000108821	Brain
ENSG00000108839	Brain
ENSG00000108846	Brain
ENSG00000108861	Brain
ENSG00000109586	Brain
ENSG00000109654	Brain
ENSG00000109670	Brain
ENSG00000109674	Brain
ENSG00000109689	Brain
ENSG00000109814	Brain
ENSG00000109906	Brain
ENSG00000110042	Brain
ENSG00000110046	Brain
ENSG00000110171	Brain
ENSG00000110274	Brain
ENSG00000110318	Brain
ENSG00000110321	Brain
ENSG00000110395	Brain
ENSG00000110436	Brain
ENSG00000110497	Brain
ENSG00000110628	Brain
ENSG00000110660	Brain
ENSG00000110697	Brain
ENSG00000110713	Brain
ENSG00000110721	Brain
ENSG00000111012	Brain
ENSG00000111046	Brain
ENSG00000111087	Brain
